,Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted Price in Amazon
0,Alisha Solid Women's Cycling Shorts,699.0,267.0,Alisha Solid Women's Cycling Shorts,982.0,438.0
1,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32143.0,29121.0
2,i-Sports Bellies,899.0,399.0,AW Bellies,991.0,551.0
3,Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha Solid Women's Cycling Shorts,694.0,325.0
4,Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,Sicons All Purpose Arnica Dog Shampoo,208.0,258.0
5,Aaishwarya Glim Glam Crystal Crystal Alloy Necklace,1450.0,599.0,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,427.0,473.0
6,Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha Solid Women's Cycling Shorts,1198.0,602.0
7,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32137.0,28664.0
8,Provogue Corporate Casuals,2099.0,2099.0,"dilli bazaaar Bellies, Corporate Casuals, Casuals",682.0,385.0
9,Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha Solid Women's Cycling Shorts,1197.0,542.0
10,femitaly Women Bellies,1099.0,499.0,Ladela Bellies,1705.0,1119.0
11,Carrel Printed Women's,2499.0,999.0,Carrel Printed Women's,2281.0,1080.0
12,Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,Sicons All Purpose Tea Tree Dog Shampoo,-11.0,0.0
13,Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha Solid Women's Cycling Shorts,990.0,479.0
14,Probott Vacuum Sports 1200 ml Water Bottle,999.0,999.0,Freelance Vacuum Bottles 350 ml Bottle,690.0,822.0
15,Alisha Solid Women's Cycling Shorts,999.0,379.0,Alisha Solid Women's Cycling Shorts,995.0,434.0
16,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32150.0,28650.0
